Image_Name,True_Color,File_Path
89_p0_vest.jpg,Orange,./Data_Vest_Crops/train/89_p0_vest.jpg
51_p0_vest.jpg,Orange,./Data_Vest_Crops/train/51_p0_vest.jpg
50_p0_vest.jpg,Orange,./Data_Vest_Crops/train/50_p0_vest.jpg
20250330_180308_warning_trespassing_p1_vest.jpg,Yellow,./Data_Vest_Crops/train/20250330_180308_warning_trespassing_p1_vest.jpg
20250330_180308_warning_trespassing_p0_vest.jpg,Orange,./Data_Vest_Crops/train/20250330_180308_warning_trespassing_p0_vest.jpg
20250330_180306_warning_trespassing_p1_vest.jpg,Yellow,./Data_Vest_Crops/train/20250330_180306_warning_trespassing_p1_vest.jpg
20250330_180306_warning_trespassing_p0_vest.jpg,Orange,./Data_Vest_Crops/train/20250330_180306_warning_trespassing_p0_vest.jpg
20250330_180302_warning_trespassing_p1_vest.jpg,Yellow,./Data_Vest_Crops/train/20250330_180302_warning_trespassing_p1_vest.jpg
20250330_180302_warning_trespassing_p0_vest.jpg,Orange,./Data_Vest_Crops/train/20250330_180302_warning_trespassing_p0_vest.jpg
20250330_180258_warning_trespassing_p0_vest.jpg,Yellow,./Data_Vest_Crops/train/20250330_180258_warning_trespassing_p0_vest.jpg
20250330_180257_warning_trespassing_p1_vest.jpg,Yellow,./Data_Vest_Crops/train/20250330_180257_warning_trespassing_p1_vest.jpg
20250330_180257_warning_trespassing_p0_vest.jpg,Orange,./Data_Vest_Crops/train/20250330_180257_warning_trespassing_p0_vest.jpg
20241106_104208_warning_trespassing_p0_vest.jpg,Yellow,./Data_Vest_Crops/train/20241106_104208_warning_trespassing_p0_vest.jpg
20241103_110420_warning_trespassing_p0_vest.jpg,Yellow,./Data_Vest_Crops/train/20241103_110420_warning_trespassing_p0_vest.jpg
20241101_175802_warning_trespassing_p1_vest.jpg,Yellow,./Data_Vest_Crops/train/20241101_175802_warning_trespassing_p1_vest.jpg
20241101_175802_warning_trespassing_p0_vest.jpg,Orange,./Data_Vest_Crops/train/20241101_175802_warning_trespassing_p0_vest.jpg
20241031_133604_warning_trespassing_p0_vest.jpg,Orange,./Data_Vest_Crops/train/20241031_133604_warning_trespassing_p0_vest.jpg
20241031_094342_warning_trespassing_p0_vest.jpg,Yellow,./Data_Vest_Crops/train/20241031_094342_warning_trespassing_p0_vest.jpg
20240918_102742_warning_trespassing_p0_vest.jpg,Yellow,./Data_Vest_Crops/train/20240918_102742_warning_trespassing_p0_vest.jpg
20240918_102721_warning_trespassing_p0_vest.jpg,Yellow,./Data_Vest_Crops/train/20240918_102721_warning_trespassing_p0_vest.jpg
20240908_181952_warning_trespassing_p0_vest.jpg,Yellow,./Data_Vest_Crops/train/20240908_181952_warning_trespassing_p0_vest.jpg
20240908_181640_warning_trespassing_p1_vest.jpg,Yellow,./Data_Vest_Crops/train/20240908_181640_warning_trespassing_p1_vest.jpg
20240908_125845_warning_trespassing_p3_vest.jpg,Yellow,./Data_Vest_Crops/train/20240908_125845_warning_trespassing_p3_vest.jpg
20240908_125845_warning_trespassing_p2_vest.jpg,Orange,./Data_Vest_Crops/train/20240908_125845_warning_trespassing_p2_vest.jpg
20240908_124732_warning_trespassing_p2_vest.jpg,Yellow,./Data_Vest_Crops/train/20240908_124732_warning_trespassing_p2_vest.jpg
20240908_122541_warning_trespassing_p0_vest.jpg,Yellow,./Data_Vest_Crops/train/20240908_122541_warning_trespassing_p0_vest.jpg
20240908_121443_warning_trespassing_p1_vest.jpg,Yellow,./Data_Vest_Crops/train/20240908_121443_warning_trespassing_p1_vest.jpg
20240908_121443_warning_trespassing_p0_vest.jpg,Orange,./Data_Vest_Crops/train/20240908_121443_warning_trespassing_p0_vest.jpg
20240908_121045_warning_trespassing_p2_vest.jpg,Yellow,./Data_Vest_Crops/train/20240908_121045_warning_trespassing_p2_vest.jpg
20240906_102826_warning_trespassing_p0_vest.jpg,Yellow,./Data_Vest_Crops/train/20240906_102826_warning_trespassing_p0_vest.jpg
20240820_114406_warning_trespassing_p0_vest.jpg,Orange,./Data_Vest_Crops/train/20240820_114406_warning_trespassing_p0_vest.jpg
20240807_125639_warning_trespassing_p1_vest.jpg,Orange,./Data_Vest_Crops/train/20240807_125639_warning_trespassing_p1_vest.jpg
20240802_123736_warning_trespassing_p2_vest.jpg,Orange,./Data_Vest_Crops/train/20240802_123736_warning_trespassing_p2_vest.jpg
20240802_123736_warning_trespassing_p1_vest.jpg,Orange,./Data_Vest_Crops/train/20240802_123736_warning_trespassing_p1_vest.jpg
20240802_123736_warning_trespassing_p0_vest.jpg,Orange,./Data_Vest_Crops/train/20240802_123736_warning_trespassing_p0_vest.jpg
20240802_123558_warning_trespassing_p2_vest.jpg,Yellow,./Data_Vest_Crops/train/20240802_123558_warning_trespassing_p2_vest.jpg
20240802_123558_warning_trespassing_p0_vest.jpg,Orange,./Data_Vest_Crops/train/20240802_123558_warning_trespassing_p0_vest.jpg
20240802_123448_warning_trespassing_p1_vest.jpg,Orange,./Data_Vest_Crops/train/20240802_123448_warning_trespassing_p1_vest.jpg
20240802_123448_warning_trespassing_p0_vest.jpg,Orange,./Data_Vest_Crops/train/20240802_123448_warning_trespassing_p0_vest.jpg
20240802_123425_warning_trespassing_p0_vest.jpg,Orange,./Data_Vest_Crops/train/20240802_123425_warning_trespassing_p0_vest.jpg
20240801_130556_warning_trespassing_p2_vest.jpg,Orange,./Data_Vest_Crops/train/20240801_130556_warning_trespassing_p2_vest.jpg
20240801_130556_warning_trespassing_p1_vest.jpg,Orange,./Data_Vest_Crops/train/20240801_130556_warning_trespassing_p1_vest.jpg
20240801_121650_warning_trespassing_p0_vest.jpg,Yellow,./Data_Vest_Crops/train/20240801_121650_warning_trespassing_p0_vest.jpg
20240801_120947_warning_trespassing_p2_vest.jpg,Yellow,./Data_Vest_Crops/train/20240801_120947_warning_trespassing_p2_vest.jpg
20240801_120947_warning_trespassing_p0_vest.jpg,Orange,./Data_Vest_Crops/train/20240801_120947_warning_trespassing_p0_vest.jpg
20240801_120737_warning_trespassing_p2_vest.jpg,Orange,./Data_Vest_Crops/train/20240801_120737_warning_trespassing_p2_vest.jpg
20240801_120737_warning_trespassing_p1_vest.jpg,Orange,./Data_Vest_Crops/train/20240801_120737_warning_trespassing_p1_vest.jpg
20240722_150145_warning_trespassing_p0_vest.jpg,Yellow,./Data_Vest_Crops/train/20240722_150145_warning_trespassing_p0_vest.jpg
20240620_164531_warning_trespassing_p0_vest.jpg,Yellow,./Data_Vest_Crops/train/20240620_164531_warning_trespassing_p0_vest.jpg
20240620_164321_warning_trespassing_p1_vest.jpg,Yellow,./Data_Vest_Crops/train/20240620_164321_warning_trespassing_p1_vest.jpg
20240620_164321_warning_trespassing_p0_vest.jpg,Orange,./Data_Vest_Crops/train/20240620_164321_warning_trespassing_p0_vest.jpg
20240609_173542_warning_trespassing_p0_vest.jpg,Yellow,./Data_Vest_Crops/train/20240609_173542_warning_trespassing_p0_vest.jpg
20240609_173300_warning_trespassing_p0_vest.jpg,Yellow,./Data_Vest_Crops/train/20240609_173300_warning_trespassing_p0_vest.jpg
20240604_182930_warning_trespassing_p1_vest.jpg,Orange,./Data_Vest_Crops/train/20240604_182930_warning_trespassing_p1_vest.jpg
20240604_182930_warning_trespassing_p0_vest.jpg,Yellow,./Data_Vest_Crops/train/20240604_182930_warning_trespassing_p0_vest.jpg
20240601_164053_warning_trespassing_p0_vest.jpg,Yellow,./Data_Vest_Crops/train/20240601_164053_warning_trespassing_p0_vest.jpg
20240520_165334_warning_trespassing_p0_vest.jpg,Yellow,./Data_Vest_Crops/train/20240520_165334_warning_trespassing_p0_vest.jpg
20240519_180554_warning_trespassing_p0_vest.jpg,Yellow,./Data_Vest_Crops/train/20240519_180554_warning_trespassing_p0_vest.jpg
20240519_170443_warning_trespassing_p0_vest.jpg,Yellow,./Data_Vest_Crops/train/20240519_170443_warning_trespassing_p0_vest.jpg
20240519_165924_warning_trespassing_p0_vest.jpg,Orange,./Data_Vest_Crops/train/20240519_165924_warning_trespassing_p0_vest.jpg
20240519_165103_warning_trespassing_p1_vest.jpg,Yellow,./Data_Vest_Crops/train/20240519_165103_warning_trespassing_p1_vest.jpg
20240519_165103_warning_trespassing_p0_vest.jpg,Orange,./Data_Vest_Crops/train/20240519_165103_warning_trespassing_p0_vest.jpg
20240519_163621_warning_trespassing_p2_vest.jpg,Orange,./Data_Vest_Crops/train/20240519_163621_warning_trespassing_p2_vest.jpg
20240519_163621_warning_trespassing_p1_vest.jpg,Yellow,./Data_Vest_Crops/train/20240519_163621_warning_trespassing_p1_vest.jpg
20240519_163621_warning_trespassing_p0_vest.jpg,Yellow,./Data_Vest_Crops/train/20240519_163621_warning_trespassing_p0_vest.jpg
20240519_162337_warning_trespassing_p1_vest.jpg,Orange,./Data_Vest_Crops/train/20240519_162337_warning_trespassing_p1_vest.jpg
20240519_162337_warning_trespassing_p0_vest.jpg,Yellow,./Data_Vest_Crops/train/20240519_162337_warning_trespassing_p0_vest.jpg
20240519_162319_warning_trespassing_p1_vest.jpg,Yellow,./Data_Vest_Crops/train/20240519_162319_warning_trespassing_p1_vest.jpg
20240519_162319_warning_trespassing_p0_vest.jpg,Orange,./Data_Vest_Crops/train/20240519_162319_warning_trespassing_p0_vest.jpg
20240519_162220_warning_trespassing_p0_vest.jpg,Orange,./Data_Vest_Crops/train/20240519_162220_warning_trespassing_p0_vest.jpg
20240519_141340_warning_trespassing_p0_vest.jpg,Yellow,./Data_Vest_Crops/train/20240519_141340_warning_trespassing_p0_vest.jpg
20240507_095900_warning_helmet_p0_vest.jpg,Yellow,./Data_Vest_Crops/train/20240507_095900_warning_helmet_p0_vest.jpg
